SE,drugA,drugB
C0009676,EHDP,isoniazid
C0030193,donepezil,tiotropium
C0020649,donepezil,duloxetine
C0027497,indinavir,prednisolone
C0032285,brimonidine,repaglinide
C0020649,brimonidine,nortriptyline
C0020649,lovastatin,piroxicam
C0015967,fexofenadine,pirbuterol
C0013404,azathioprine,venlafaxine
C0013404,labetalol,stavudine
C0020649,paroxetine,spironolactone
C0020649,isosorbide dinitrate,NaCl
C0032285,zolpidem,atazanavir
C0020649,doxycycline,ofloxacin
C0020649,oxycodone,sertraline
C0032285,nicotine,nystatin
C0027497,nalbuphine,nystatin
C0020649,methotrexate,mometasone
C0002871,doxycycline,olanzapine
C0002871,azithromycin,enalapril
C0020649,etoposide,ramipril
C0011991,rosiglitazone,erlotinib
C0011175,letrozole,isosorbide-5-mononitrate
C0020649,epinephrine,paroxetine
C0002871,mitoxantrone,ranitidine
C0002871,cetirizine,mometasone
C0020456,vitamin B12,telmisartan
C0020649,cefaclor,ranitidine
C0020649,cefaclor,ramipril
C0015672,azathioprine,fexofenadine
C0002871,labetalol,sevelamer
C0002871,pravastatin,ambrisentan
C0020649,carboplatin,mometasone
C0009676,enalapril,ertapenem
C0030193,chlorothiazide,metronidazole
C0020649,modafinil,quazepam
C0013404,bisoprolol,methotrexate
C0020649,temazepam,nystatin
C0002871,quinidine,celecoxib
C0004093,doxycycline,oxybutynin
C0020649,doxycycline,oxycodone
C0027497,quinidine,cephalexin
C0002871,carisoprodol,metformin
C0015672,olmesartan medoxomil,rosuvastatin
C0032285,oxycodone,atovaquone
C0020649,carisoprodol,methadone
C0020649,fluconazole,rofecoxib
C0020649,lansoprazole,iloprost
C0002871,clopidogrel,arsenic trioxide
C0020649,calcipotriol,metformin
C0020649,folate,ranitidine
C0020649,methotrexate,tadalafil
C0012833,methotrexate,vardenafil
C0015967,temazepam,atazanavir
C0020649,phenelzine,sumatriptan
C0002871,minoxidil,Lambda
C0002871,aztreonam,linezolid
C0002871,alosetron,hydroxyzine
C0020649,fexofenadine,zafirlukast
C0020649,N-acetylcysteine,warfarin
C0020649,methocarbamol,mometasone
C0398353,efavirenz,rabeprazole
C0002871,famotidine,vinorelbine
C0020649,estazolam,pregabalin
C0020649,nitrazepam,oxazepam
C0002871,mirtazapine,aripiprazole
C0027497,selenium sulfide,montelukast
C0032285,dantrolene,morphine
C0013404,simvastatin,almotriptan
C0002871,ramipril,travoprost
C0032285,clozapine,morphine
C0398353,lidocaine,primidone
C0002871,alprazolam,metformin
C0013404,clozapine,moxifloxacin
C0020649,pamidronate,promethazine
C0442874,alprazolam,methadone
C0020649,lidocaine,prednisone
C0020649,valganciclovir,mycophenolic acid
C0020649,baclofen,furosemide
C0013404,lamotrigine,vardenafil
C0013404,indomethacin,sildenafil
C0032285,rofecoxib,paricalcitol
C0020649,fulvestrant,palonosetron
C0020649,pentoxifylline,clarithromycin
C0032285,ibuprofen,clobetasol
C0020649,haloperidol,lansoprazole
C0027497,flecainide,raloxifene
C0002871,cyclosporine,felodipine
C0002871,pravastatin,timolol
C0002871,zidovudine,clarithromycin
C0002871,nadolol,sorafenib
C0013404,cyclosporine,fenofibrate
C0020649,lisinopril,nizatidine
C0020649,nitroglycerin,vecuronium
C0020649,carboplatin,SU11248
C0020649,alendronate,goserelin
C0020649,thyroxine,misoprostol
C0020649,valproic acid,imipramine
C0027497,methadone,ropinirole
C0002871,methadone,rofecoxib
C0020649,methotrexate,pioglitazone
C0015672,primidone,tramadol
C0020649,amiodarone,flecainide
C0020649,etodolac,tadalafil
C0020649,ciprofloxacin,nifedipine
C0027497,Ets,5-fluorouracil
C0027497,Ets,fluorometholone
C0002871,Ets,fluoxetine
C0027497,ibuprofen,montelukast
C0020649,etomidate,simvastatin
C0013404,celecoxib,temozolomide
C0020649,famciclovir,lamivudine
C0013404,captopril,dutasteride
C0027497,ibuprofen,scopolamine
C0013404,amoxicillin,haloperidol
C0013404,desloratadine,montelukast
C0011991,cyclosporine,brinzolamide
C0027497,famciclovir,nystatin
C0002871,famciclovir,lamotrigine
C0042963,isoniazid,methotrexate
C0027497,Ets,solifenacin succinate
C0002871,N-acetylcysteine,hydrochlorothiazide
C0018681,clomipramine,finasteride
C0020649,fluconazole,lidocaine
C0013404,doxycycline,sildenafil
C0013404,warfarin,bleomycin
C0013404,fluconazole,ibuprofen
C0013604,latanoprost,gatifloxacin
C0027497,leucovorin,tolterodine
C0015672,buprenorphine,trimipramine
C0002871,carvedilol,Lambda
C0013404,ketorolac,ezetimibe
C0020649,hydroxyurea,zolpidem
C0004604,amantadine,nortriptyline
C0030193,calcium chloride,entacapone
C0020649,KCl,octreotide
C0002871,chlorothiazide,lorazepam
C0020649,quetiapine,terazosin
C0004093,candesartan,sildenafil
C0027497,bupropion,azathioprine
C0022660,candesartan,sibutramine
C0020649,bupropion,azelastine
C0020649,bupropion,azithromycin
C0020649,metolazone,ranitidine
C0013404,atenolol,SU11248
C0020649,famotidine,modafinil
C0020649,losartan,trandolapril
C0002871,mitoxantrone,KCl
C0020649,timolol,warfarin
C0027497,letrozole,nabumetone
C0027497,cefadroxil,clindamycin
C0020649,lansoprazole,aprepitant
C0030193,heparin,propafenone
C0013404,captopril,tramadol
C0008033,thyroxine,acetazolamide
C0020649,nicotine,olanzapine
C0020649,nicotine,ofloxacin
C0020649,norethisterone,ranitidine
C0002871,thyroxine,acetaminophen
C0020649,pravastatin,rivastigmine
C0020649,doxorubicin,amitriptyline
C0002871,doxorubicin,amlodipine
C0020649,bupivacaine,vancomycin
C0027497,bupivacaine,valsartan
C0020649,nitrofurantoin,nitroglycerin
C0027497,cortisol,latanoprost
C0002871,irinotecan,sucralfate
C0020649,sodium bicarbonate,pregabalin
C0020649,clopidogrel,miconazole
C0002871,pregabalin,SU11248
C0002871,ciprofloxacin,ibandronate
C0020649,ciprofloxacin,ziprasidone
C0002871,amoxapine,quetiapine
C0020649,triiodothyronine,orlistat
C0020649,bupropion,KCl
C0020649,estradiol,tiotropium
C0020649,cerivastatin,folate
C0002871,nitrofurantoin,tramadol
C0020649,salbutamol,atorvastatin
C0027497,triiodothyronine,ondansetron
C0020649,triiodothyronine,omeprazole
C0015672,fenofibrate,mefenamic acid
C0027497,bupivacaine,isosorbide-5-mononitrate
C0020649,dicyclomine,tramadol
C0013404,captopril,imatinib
C0030193,enalapril,perphenazine
C0020649,etoposide,vancomycin
C0020649,etoposide,valsartan
C0020649,hydroxyzine,timolol
C0020649,etoposide,venlafaxine
C0013404,calcium,ropinirole
C0032285,calcium,rofecoxib
C0020649,valproic acid,isosorbide dinitrate
C0002871,pravastatin,allopurinol
C0020649,etoposide,pregabalin
C0002871,valproic acid,triazolam
C0013404,morphine,clobetasol
C0013404,prednisolone,fluticasone
C0002871,fluoxetine,tamsulosin
C0013404,metformin,aripiprazole
C0013404,retinoic acid,vancomycin
C0020649,nicotinic acid,zaleplon
C0020649,pregabalin,nateglinide
C0013404,diltiazem,leuprolide acetate
C0002871,azathioprine,ranitidine
C0002871,azathioprine,ramipril
C0085649,bumetanide,bimatoprost
C0020456,tamoxifen,timolol
C0020649,metformin,prednisone
C0030193,enalapril,pregabalin
C0032285,adenosine,valacyclovir
C0002871,lorazepam,paricalcitol
C0032285,adenosine,ursodeoxycholic acid
C0020649,buprenorphine,zoledronic acid
C0020649,beclomethasone,trimethoprim
C0020649,clonazepam,ibandronate
C0002871,hydrochlorothiazide,isradipine
C0002871,clonazepam,ziprasidone
C0035078,dicloxacillin,pantoprazole
C0020649,gabapentin,propranolol
C0002871,letrozole,ibandronate
C0013404,carbamazepine,formoterol
C0002871,folate,linezolid
C0085649,quetiapine,octreotide
C0020649,ramipril,rofecoxib
C0020649,carbamazepine,fosinopril
C0013404,duloxetine,capecitabine
C0013404,nicotine,oxybutynin
C0013404,nicotine,oxycodone
C0020649,heparin,calcitriol
C0002871,azithromycin,ethambutol
C0027497,losartan,nevirapine
C0011991,orlistat,amiloride
C0020649,heparin,verapamil
C0020649,famotidine,lorazepam
C0020649,dapsone,lansoprazole
C0013404,glimepiride,oxycodone
C0027497,donepezil,prednisolone
C0013404,triiodothyronine,diazepam
C0020649,heparin,cisplatin
C0013404,donepezil,prazosin
C0020649,famotidine,loperamide
C0002871,sulfate,sevelamer
C0020649,5-fluorouracil,misoprostol
C0011991,ciclopirox,omeprazole
C0398353,ciclopirox,ondansetron
C0027497,nicotinic acid,oxcarbazepine
C0020649,losartan,testosterone
C0020649,N-acetylcysteine,vinorelbine
C0020649,losartan,lithium
C0020649,heparin,minocycline
C0020649,heparin,minoxidil
C0020649,triazolam,nateglinide
C0013404,cefprozil,lorazepam
C0002871,heparin,mirtazapine
C0030193,cefepime,sildenafil
C0002871,doxazosin,pravastatin
C0002871,doxazosin,pramipexole
C0020649,azathioprine,oxybutynin
C0027497,fluticasone,iloprost
C0020649,amitriptyline,isosorbide-5-mononitrate
C0020649,flecainide,carboplatin
C0020649,ibuprofen,tamsulosin
C0032285,adenosine,methotrexate
C0020649,nadolol,venlafaxine
C0027497,cefuroxime,timolol
C0020649,ciprofloxacin,allopurinol
C0020649,valproic acid,minoxidil
C0002871,valproic acid,minocycline
C0030193,iopromide,tacrolimus
C0020649,valproic acid,mirtazapine
C0020649,valproic acid,erythromycin
C0020649,pergolide,ranitidine
C0013404,buprenorphine,famotidine
C0020649,sertraline,timolol
C0002871,azathioprine,spironolactone
C0020649,leflunomide,metoclopramide
C0020649,sertraline,ticlopidine
C0013404,meloxicam,tamsulosin
C0020649,tiotropium,zoledronic acid
C0002871,ziprasidone,nystatin
C0002871,beclomethasone,tramadol
C0013404,letrozole,erlotinib
C0020649,bupropion,orlistat
C0020649,famotidine,repaglinide
C0020649,bupropion,omeprazole
C0020649,doxorubicin,6-thioguanine
C0002871,indomethacin,irbesartan
C0002871,glipizide,glibenclamide
C0027497,ipratropium bromide,testosterone
C0002871,haloperidol,nystatin
C0002871,flecainide,metformin
C0002871,irinotecan,nystatin
C0002871,ritonavir,carboplatin
C0027497,cyclobenzaprine,levetiracetam
C0013404,ipratropium bromide,terazosin
C0013404,fosinopril,triamcinolone
C0020649,indomethacin,ipratropium bromide
C0027051,ipratropium bromide,terbinafine
C0020649,diazepam,fexofenadine
C0027497,vinorelbine,vincristine
C0020649,chlorthalidone,rofecoxib
C0002871,estazolam,ribavirin
C0020649,bupropion,quinapril
C0020649,thyroxine,piroxicam
C0020649,benazepril,carboplatin
C0027497,progesterone,valdecoxib
C0020649,ramipril,triamcinolone
C0011991,pilocarpine,tadalafil
C0020649,buspirone,cetirizine
C0020649,clotrimazole,rizatriptan
C0032285,gentamicin,ipratropium bromide
C0020649,hydromorphone,metformin
C0027497,clotrimazole,ritonavir
C0027497,paclitaxel,rofecoxib
C0011991,clotrimazole,risperidone
C0020649,lidocaine,duloxetine
C0020649,lidocaine,tiotropium
C0002871,leflunomide,mometasone
C0013404,triiodothyronine,letrozole
C0020649,labetalol,prochlorperazine
C0020649,triazolam,tiotropium
C0020649,clonazepam,tamsulosin
C0002871,ciprofloxacin,leflunomide
C0002871,phentermine,rofecoxib
C0002871,ceftriaxone,clonidine
C0020649,ceftriaxone,clonazepam
C0020649,N-acetylcysteine,rofecoxib
C0002871,ceftriaxone,clopidogrel
C0020649,testosterone,valdecoxib
C0013404,ribavirin,atazanavir
C0002871,gemfibrozil,ropinirole
C0020649,carboplatin,valdecoxib
C0027051,rosiglitazone,ertapenem
C0020649,valsartan,zafirlukast
C0032285,beclomethasone,paroxetine
C0032285,hydromorphone,oxcarbazepine
C0020649,fexofenadine,tolterodine
C0020649,gemfibrozil,rofecoxib
C0020649,glipizide,prednisone
C0011175,telmisartan,solifenacin succinate
C0002871,tacrolimus,perindopril
C0015967,scopolamine,cefpodoxime
C0020649,risperidone,ezetimibe
C0013404,loperamide,adapalene
C0020649,fexofenadine,topiramate
C0013404,chlorthalidone,furosemide
C0020649,diazepam,rosiglitazone
C0020649,nitrazepam,sertraline
C0002871,nisoldipine,cinacalcet
C0032285,chlorthalidone,gabapentin
C0020649,azithromycin,loratadine
C0027497,cyclosporine,carboplatin
C0020649,bupivacaine,verapamil
C0002871,chloroquine,leflunomide
C0002871,monamine,lactulose
C0020649,zolpidem,rosuvastatin
C0020649,meperidine,prednisone
C0032285,metformin,atovaquone
C0020649,pioglitazone,sulfasalazine
C0015672,clonazepam,fulvestrant
C0002871,methocarbamol,clarithromycin
C0020649,clarithromycin,levetiracetam
C0002871,ceftriaxone,moxifloxacin
C0032285,clozapine,clarithromycin
C0002871,ceftriaxone,morphine
C0020649,furosemide,tobramycin
C0002871,dexamethasone,dipyridamole
C0002871,moxifloxacin,olopatadine
C0013404,valproic acid,piroxicam
C0020649,zaleplon,duloxetine
C0020649,triazolam,medroxyprogesterone
C0020649,cyclobenzaprine,zolpidem
C0002871,cyclobenzaprine,zolmitriptan
C0002871,fentanyl,clarithromycin
C0013404,bupropion,valacyclovir
C0030193,cyclobenzaprine,zopiclone
C0002871,cyclobenzaprine,zonisamide
C0020649,cetirizine,fluvoxamine
C0020649,cetirizine,folate
C0020649,budesonide,metronidazole
C0002871,amlodipine,testosterone
C0020649,hydrochlorothiazide,nisoldipine
C0032285,cetirizine,fluvastatin
C0231218,budesonide,mexiletine
C0020649,ondansetron,raloxifene
C0027497,hydrochlorothiazide,nimodipine
C0002871,cefazolin,latanoprost
C0020649,amlodipine,terazosin
C0020649,venlafaxine,montelukast
C0020649,leucovorin,ursodeoxycholic acid
C0032285,leucovorin,valacyclovir
C0020649,quinidine,megestrol
C0027497,carisoprodol,clindamycin
C0027497,spironolactone,erlotinib
C0020649,NaCl,ezetimibe
C0013404,hydroxyzine,olopatadine
C0020649,brinzolamide,allopurinol
C0020649,quetiapine,misoprostol
C0020649,bumetanide,misoprostol
C0020649,meloxicam,tramadol
C0020649,trazodone,simvastatin
C0020649,ciprofloxacin,tobramycin
C0002871,folate,raloxifene
C0002871,diltiazem,piroxicam
C0015672,triiodothyronine,gadodiamide
C0020649,memantine,venlafaxine
C0020649,memantine,vancomycin
C0020649,memantine,valsartan
C0013404,triamcinolone,simvastatin
C0027497,morphine,aminophylline
C0002871,ondansetron,dofetilide
C0002871,oxybutynin,ramipril
C0020649,amlodipine,perindopril
C0027497,valdecoxib,gefitinib
C0011615,tacrolimus,imiquimod
C0013404,nicotinic acid,ketoconazole
C0002871,carisoprodol,isosorbide dinitrate
C0002871,nicotinic acid,ketorolac
C0020649,diltiazem,metolazone
C0037199,amantadine,letrozole
C0002871,alprazolam,clindamycin
C0032285,azathioprine,metronidazole
C0027497,ipratropium bromide,minoxidil
C0013404,loratadine,imatinib
C0020649,morphine,triamcinolone
C0020649,lansoprazole,amiloride
C0002871,morphine,lactulose
C0020649,cefazolin,sevelamer
C0020649,hydrochlorothiazide,propranolol
C0020649,memantine,isosorbide-5-mononitrate
C0020538,hydrochlorothiazide,perphenazine
C0020649,gentamicin,rofecoxib
C0020649,chlordiazepoxide,hydrochlorothiazide
C0020649,fentanyl,pramipexole
C0002871,oxybutynin,palonosetron
C0011991,propofol,telithromycin
C0020649,labetalol,metformin
C0020649,ofloxacin,prednisone
C0011175,carbamazepine,sevoflurane
C0020649,cetirizine,dutasteride
C0002871,mitoxantrone,morphine
C0008033,buspirone,chlorthalidone
C0020649,ondansetron,clofarabine
C0002871,ribavirin,valsartan
C0085649,alprazolam,isradipine
C0020649,amlodipine,tizanidine
C0027497,alprazolam,isosorbide dinitrate
C0012833,NaCl,selenium sulfide
C0013404,rivastigmine,aripiprazole
C0020649,ribavirin,venlafaxine
C0020649,clonidine,ribavirin
C0015672,progesterone,venlafaxine
C0002871,abacavir,acetaminophen
C0020649,carisoprodol,ibandronate
C0020649,ethambutol,oseltamivir
C0013404,oxycodone,perphenazine
C0020649,carisoprodol,ziprasidone
C0002871,fluoxetine,iloprost
C0020649,butorphanol,pentazocine
C0002871,paclitaxel,prednisolone
C0013404,alprazolam,dacarbazine
C0013404,valsartan,ambrisentan
C0020649,ceftriaxone,promethazine
C0020649,olanzapine,oxazepam
C0030193,orphenadrine,risperidone
C0002871,calcipotriol,gemfibrozil
C0020649,cyclophosphamide,enalapril
C0004093,hydroxyurea,risperidone
C0027497,hydroxyurea,ritonavir
C0020649,synthetic oxytocin,cisatracurium
C0013404,flecainide,sulfasalazine
C0020649,zolpidem,warfarin
C0013404,finasteride,thalidomide
C0020649,oxycodone,pentoxifylline
C0020649,oxycodone,pirbuterol
C0004093,selegiline,temazepam
C0002871,buspirone,digoxin
C0020649,amiodarone,prednisone
C0020649,alprazolam,ibandronate
C0027497,alprazolam,ziprasidone
C0011991,testosterone,desloratadine
C0020649,spironolactone,tolterodine
C0032285,granisetron,lidocaine
C0020649,tizanidine,triamcinolone
C0002871,sumatriptan,tizanidine
C0013404,propranolol,amiloride
C0020649,lovastatin,acarbose
C0013404,methylphenidate,tizanidine
C0020649,verapamil,perindopril
C0020649,loperamide,monamine
C0027497,cefuroxime,gefitinib
C0002871,metronidazole,fluticasone
C0027497,econazole,ofloxacin
C0020649,ipratropium bromide,pregabalin
C0020649,diltiazem,tizanidine
C0020649,buspirone,modafinil
C0027497,formoterol,salmeterol
C0002871,oxycodone,ambrisentan
C0020649,candesartan,KCl
C0020649,alendronate,trandolapril
C0002871,mitoxantrone,carboplatin
C0020649,prednisolone,rosuvastatin
C0020649,oxaliplatin,pioglitazone
C0020649,triazolam,rosiglitazone
C0020649,clonazepam,nifedipine
C0085649,rofecoxib,tetracycline
C0015967,amphotericin B,risedronate
C0002871,thyroxine,naratriptan
C0027497,clindamycin,venlafaxine
C0002871,ceftriaxone,famotidine
C0002871,ceftriaxone,famciclovir
C0027497,spironolactone,solifenacin succinate
C0020649,oxaprozin,rabeprazole
C0020649,carbamazepine,hydroxyzine
C0020649,thyroxine,nefazodone
C0020649,nizatidine,zafirlukast
C0020649,leucovorin,mirtazapine
C0020649,gatifloxacin,fluticasone
C0020649,cetirizine,rabeprazole
C0002871,lansoprazole,fondaparinux sodium
C0020649,cefepime,hydroxyzine
C0002871,cefepime,oxaliplatin
C0013404,prednisone,tobramycin
C0020649,cefepime,hydroxychloroquine
C0002871,labetalol,temazepam
C0013404,cefepime,oxacillin
C0020649,flecainide,gabapentin
C0020649,cefepime,hydroxyurea
C0020649,prednisone,zafirlukast
C0020649,ceftazidime,fentanyl
C0013404,cetirizine,pyridostigmine
C0013604,bicalutamide,flutamide
C0020649,bisoprolol,furosemide
C0020649,acyclovir,amifostine
C0002871,leuprolide acetate,warfarin
C0020649,estazolam,sertraline
C0020649,clindamycin,capecitabine
C0032285,ipratropium bromide,scopolamine
C0020649,cetirizine,quazepam
C0020649,nadolol,sucralfate
C0020649,imatinib,telmisartan
C0020649,furosemide,cinacalcet
C0020649,ceftriaxone,vecuronium
C0002871,celecoxib,rosuvastatin
C0002871,cyclobenzaprine,cefdinir
C0002871,celecoxib,mercaptopurine
C0020649,cyclosporine,medroxyprogesterone
C0020649,salbutamol,gatifloxacin
C0015672,acetaminophen,gadodiamide
C0020649,ipratropium bromide,nadolol
C0002871,cefaclor,NaCl
C0002871,cimetidine,sevelamer
C0020649,salbutamol,isosorbide dinitrate
C0020649,gemfibrozil,warfarin
C0000737,cefoxitin,carboplatin
C0002871,leucovorin,capecitabine
C0020649,amoxicillin,vancomycin
C0020649,amoxicillin,valsartan
C0020649,salbutamol,tamoxifen
C0020649,carbamazepine,finasteride
C0020649,GGG,warfarin
C0032285,NaCl,valacyclovir
C0032285,adenosine,furosemide
C0013404,adenosine,gabapentin
C0032285,atenolol,nisoldipine
C0013404,quinidine,budesonide
C0011991,doxepin,oxazepam
C0020649,estradiol,carisoprodol
C0020649,risedronate,cisplatin
C0020649,amphotericin B,methotrexate
C0002871,buspirone,pioglitazone
C0003467,diltiazem,zopiclone
C0015672,cephalexin,dutasteride
C0002871,indapamide,isosorbide-5-mononitrate
C0020649,diltiazem,zolmitriptan
C0020649,butorphanol,fluticasone
C0002871,mitoxantrone,nitroglycerin
C0020649,enalapril,fentanyl
C0002871,mannitol,zolpidem
C0020649,enalapril,fexofenadine
C0002871,cetirizine,isosorbide-5-mononitrate
C0020649,atenolol,azelastine
C0020649,hydromorphone,zonisamide
C0027497,pioglitazone,O-desmethylvenlafaxine
C0027497,famciclovir,TMC114
C0020649,lisinopril,olanzapine
C0037763,nicotinic acid,dicyclomine
C0020649,nicotinic acid,didanosine
C0002871,baclofen,ropinirole
C0020649,cefepime,triazolam
C0020649,ursodeoxycholic acid,sodium bicarbonate
C0027497,clarithromycin,atovaquone
C0013404,glimepiride,paroxetine
C0032285,ceftriaxone,ursodeoxycholic acid
C0020649,ceftriaxone,valacyclovir
C0013404,alosetron,metformin
C0020649,levobunolol,piroxicam
C0020649,atenolol,atropine
C0020649,diazepam,DDAVP
C0002871,nelfinavir,clarithromycin
C0020649,lisinopril,ofloxacin
C0020649,sertraline,perindopril
C0020649,glipizide,duloxetine
C0020649,metronidazole,sertraline
C0020649,atorvastatin,citalopram
C0020649,tramadol,mometasone
C0020649,sulfate,diazepam
C0020649,mupirocin,pioglitazone
C0013404,enalapril,imipramine
C0020649,citalopram,methadone
C0020649,candesartan,digoxin
C0020649,citalopram,metformin
C0013404,prednisone,gefitinib
C0020649,thyroxine,thalidomide
C0002871,sodium bicarbonate,nystatin
C0027497,prednisolone,capecitabine
C0027497,doxorubicin,zopiclone
C0020649,citalopram,repaglinide
C0013404,BCNU,zoledronic acid
C0030193,citalopram,levonorgestrel
C0020649,cefuroxime,lidocaine
C0020649,letrozole,metformin
C0027497,heparin,nevirapine
C0020649,fluconazole,paroxetine
C0020649,digoxin,flurazepam
C0020649,atorvastatin,sertraline
C0002871,galactose,NaCl
C0085649,desferrioxamine,lenalidomide
C0030193,ipratropium bromide,acarbose
C0020649,celecoxib,metoclopramide
C0002871,atorvastatin,perindopril
C0020649,topiramate,venlafaxine
C0020649,verapamil,hydroxyurea
C0020649,ranitidine,misoprostol
C0002871,monamine,thalidomide
C0002871,acetaminophen,dacarbazine
C0002871,chlorhexidine,lactulose
C0020649,linezolid,pantoprazole
C0027497,didanosine,trimethoprim
C0013404,baclofen,tiotropium
C0020649,memantine,prednisone
C0020649,nortriptyline,simvastatin
C0020649,zaleplon,olopatadine
C0013404,lamivudine,ofloxacin
C0027497,ribavirin,terazosin
C0030193,KCl,aliskiren
C0002871,fluconazole,glimepiride
C0002871,nicotinic acid,benazepril
C0020649,fluconazole,glipizide
C0030193,actinomycin D,captopril
C0020649,orphenadrine,rofecoxib
C0030193,actinomycin D,carbamazepine
C0015672,thyroxine,tadalafil
C0020649,chlorpromazine,repaglinide
C0002871,methylphenidate,tenofovir disoproxil fumarate
C0002871,prostaglandin E1,cefazolin
C0020649,cephalexin,flurazepam
C0027497,clozapine,enalapril
C0015967,vincristine,bleomycin
C0002871,mirtazapine,perphenazine
C0002871,candesartan,omeprazole
C0002871,candesartan,ondansetron
C0032285,pyrazinamide,ethambutol
C0015672,candesartan,orlistat
C0020649,cephalexin,nortriptyline
C0008033,cephalexin,levonorgestrel
C0027497,cephalexin,repaglinide
C0004604,oxazepam,oxycodone
C0020649,GGG,paroxetine
C0020649,sertraline,dofetilide
C0027497,celecoxib,lidocaine
C0032285,gabapentin,retinoic acid
C0013404,pilocarpine,clobetasol
C0020649,celecoxib,ibuprofen
C0002871,mannitol,ampicillin
C0020649,naloxone,posaconazole
C0013404,mirtazapine,paroxetine
C0020649,citalopram,oxcarbazepine
C0020649,mirtazapine,tetracycline
C0002871,acarbose,olmesartan medoxomil
C0020649,methocarbamol,mirtazapine
C0002871,doxazosin,fluvastatin
C0011991,5-fluorouracil,gemfibrozil
C0085649,bumetanide,rabeprazole
C0020649,diclofenac,leuprolide acetate
C0013404,N-acetylcysteine,loperamide
C0020649,mesna,phenytoin
C0020649,GGG,lisinopril
C0020649,nefazodone,atomoxetine
C0032285,propranolol,acarbose
C0002871,GGG,valdecoxib
C0027497,desloratadine,varenicline
C0002871,isosorbide dinitrate,bosentan
C0020649,BCNU,lorazepam
C0002871,nortriptyline,rosiglitazone
C0011991,vancomycin,sufentanil
C0002871,propranolol,lactulose
C0004093,salmeterol,tiotropium
C0002871,rabeprazole,olopatadine
C0020649,gemfibrozil,salmeterol
C0002871,salmeterol,duloxetine
C0027497,nortriptyline,frovatriptan
C0020649,BCNU,loperamide
C0020649,oxycodone,sevelamer
C0020649,allopurinol,pregabalin
C0020649,rofecoxib,goserelin
C0002871,melphalan,pantoprazole
C0020649,gemfibrozil,metoclopramide
C0013404,bupropion,ambrisentan
C0020649,citalopram,diazepam
C0027497,pantoprazole,pergolide
C0032285,chlorpromazine,diazepam
C0002871,heparin,hydralazine
C0020649,loteprednol etabonate,tiotropium
C0020649,celecoxib,clindamycin
C0032285,BCNU,oxycodone
C0020649,oxcarbazepine,glatiramer acetate
C0002871,heparin,hydrochlorothiazide
C0020649,sodium bicarbonate,bortezomib
C0002871,nicotinic acid,tiotropium
C0020649,lisinopril,minoxidil
C0002871,furosemide,terbinafine
C0020649,nicotinic acid,duloxetine
C0020649,lisinopril,mirtazapine
C0013404,propranolol,9-hydroxyrisperidone
C0013404,meloxicam,rosuvastatin
C0030193,cefotaxime,metronidazole
C0002871,cyclosporine,labetalol
C0013404,cefotaxime,metoprolol
C0027497,enalapril,ranitidine
C0002871,clopidogrel,oxazepam
C0002871,clopidogrel,oxaprozin
C0020649,EHDP,loperamide
C0020649,salbutamol,amphetamine
C0027497,salbutamol,dextromethorphan
C0085649,letrozole,loratadine
C0020649,enalapril,raloxifene
C0020649,epsilon-aminocaproic acid,dapsone
C0020649,ibuprofen,raloxifene
C0020649,doxorubicin,fluconazole
C0002871,doxorubicin,fludarabine
C0020649,lorazepam,nitroglycerin
C0020649,lorazepam,nizatidine
C0011991,alosetron,cetirizine
C0020649,chlorhexidine,topiramate
C0002871,lorazepam,lithium
C0020649,terbinafine,lactulose
C0020649,rizatriptan,tolterodine
C0020649,rizatriptan,topiramate
C0020649,oxycodone,thalidomide
C0020649,naproxen,metolazone
C0013404,naproxen,metoprolol
C0085649,famciclovir,spironolactone
C0020649,naproxen,metronidazole
C0020649,cimetidine,methylprednisolone
C0027497,naproxen,mexiletine
C0020649,lidocaine,sevelamer
C0002871,mesna,imatinib
C0012833,etoposide,formoterol
C0002871,isradipine,nystatin
C0013404,olanzapine,thalidomide
C0032285,paroxetine,ivermectin
C0020649,docetaxel,prednisolone
C0002871,lactulose,aprepitant
C0013404,loperamide,isosorbide-5-mononitrate
C0020649,alendronate,candesartan
C0398353,midazolam,ranitidine
C0020649,alprazolam,colesevelam hydrochloride
C0013604,loratadine,ivermectin
C0002871,acetaminophen,hydrochlorothiazide
C0002871,acetaminophen,hydralazine
C0032227,cyclosporine,tigecycline
C0027497,testosterone,lactulose
C0011991,carvedilol,amiloride
C0020649,thiothixene,oxcarbazepine
C0020649,nicardipine,repaglinide
C0002871,methocarbamol,triazolam
C0008033,bleomycin,cisplatin
C0015672,rosiglitazone,solifenacin succinate
C0011991,cefazolin,piperacillin
C0013404,cimetidine,warfarin
C0020649,gabapentin,cortisol
C0020649,salbutamol,celecoxib
C0002871,amlodipine,dexamethasone
C0015672,celecoxib,adapalene
C0020649,salbutamol,cephalexin
C0020649,torasemide,pregabalin
C0013404,temazepam,ibandronate
C0020649,gabapentin,hydromorphone
C0020649,cetirizine,medroxyprogesterone
C0020649,enalapril,oxybutynin
C0020649,enalapril,oxycodone
C0027497,methotrexate,tacrolimus
C0032285,buspirone,tiotropium
C0030193,norfloxacin,paroxetine
C0085649,buspirone,duloxetine
C0013404,zolpidem,9-hydroxyrisperidone
C0020649,rapamycin,topiramate
C0027497,alosetron,diltiazem
C0020649,olopatadine,darifenacin
C0013404,alfuzosin,digoxin
